NAMESPACE            NAME                                                              READY   STATUS      RESTARTS          AGE
ilens-core           pod/data-processor-resource-monitoring-5bc5d7d57-8cqll            1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/timeseries-data-processor-5488775585-hqtk9                    1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/ilens-notifications-batch-email-trigger-5ddfdbc4db-cqhp8      1/1     Running     6 (6d16h ago)     44d
ilens-infra          pod/arango-operator-689555d444-t5v48                              1/1     Running     27 (6d16h ago)    192d
ilens-core           pod/infra-mongo-backup-28986300-4j5bk                             0/1     Pending     0                 6d16h
ilens-core           pod/infra-kairosdb-incremental-backup-28986120-fxcz4              0/1     Pending     0                 6d16h
ilens-core           pod/infra-arango-backup-28986300-8ts9z                            0/1     Pending     0                 6d16h
ilens-core           pod/restart-core-pods-28985880-h5j6j                              0/1     Pending     0                 6d16h
ilens-core           pod/restart-infra-pods-28982710-jskqg                             0/1     Pending     0                 6d16h
ilens-core           pod/sms-email-utility-69b679c6d7-4gtbr                            1/1     Running     6 (6d16h ago)     44d
ilens-infra          pod/kafka-0                                                       1/1     Running     10 (6d16h ago)    192d
ilens-core           pod/postgres-data-processor-848b9fcccd-kkqxh                      1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/audit-management-worker-775dbf4d5f-xl78b                      1/1     Running     6 (6d16h ago)     39d
ilens-core           pod/data-post-processor-57d9ff6899-4gl9n                          1/1     Running     7 (6d16h ago)     44d
ilens-core           pod/dynamic-proxies-5787b5cb6b-d9f7h                              1/1     Running     7 (6d16h ago)     44d
ilens-core           pod/ilens-audit-tracker-worker-65896d9958-9wvcd                   1/1     Running     5 (6d16h ago)     39d
ilens-core           pod/data-processor-worker-8458455d45-qxwsb                        1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/graph-explorer-5c977dc57d-ktck7                               1/1     Running     6 (6d16h ago)     44d
ilens-infra          pod/infra-keycloak-66b68489f-p2cpt                                1/1     Running     7 (6d16h ago)     44d
ilens-core           pod/event-explorer-7ddb94ddcf-bpsl6                               1/1     Running     3 (6d16h ago)     27d
ilens-core           pod/app-configurator-6f68684c9f-n2xhz                             1/1     Running     4 (6d16h ago)     27d
ilens-core           pod/custom-form-services-57fb5b79f6-nhs76                         1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/ilens-audit-tracker-mail-worker-66f45d6778-q8d4x              1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/ebpr-report-engine-celery-6f56f58d94-rc5jg                    1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/ebpr-report-engine-schedule-history-65c6fd89c9-584qg          1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/ebpr-report-engine-celery-6f56f58d94-grpwm                    1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/workflow-management-backfill-schedule-9b995bcf5-7qx44         1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/custom-form-services-57fb5b79f6-rqwpz                         1/1     Running     5 (6d16h ago)     28d
ilens-core           pod/data-processor-event-trigger-9d6fd7749-ttphp                  1/1     Running     1 (6d16h ago)     18d
ilens-core           pod/device-control-plane-web-88c674c6b-swzhf                      1/1     Running     0                 6d16h
ilens-core           pod/ebpr-periodic-data-engine-7bcfcd7767-dmw7d                    1/1     Running     10 (6d16h ago)    44d
ilens-core           pod/ebpr-periodic-data-engine-7bcfcd7767-qw9z6                    1/1     Running     9 (6d16h ago)     39d
ilens-core           pod/ebpr-periodic-data-engine-7bcfcd7767-rvwrq                    1/1     Running     8 (6d16h ago)     39d
ilens-core           pod/event-explorer-web-7d44b5b488-v6229                           1/1     Running     7 (6d16h ago)     44d
ilens-core           pod/ebpr-report-engine-7df5494f6f-p77hm                           1/1     Running     9 (6d16h ago)     44d
ilens-core           pod/ebpr-report-engine-7df5494f6f-p64bt                           1/1     Running     11 (6d16h ago)    44d
ilens-core           pod/data-management-celery-55699b6b9c-gtz8b                       1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/gotenberg-7d9f4fb685-qbn9p                                    1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/digital-twin-service-57d4bbb45c-rkc98                         1/1     Running     13 (6d16h ago)    44d
ilens-core           pod/ebpr-report-engine-7df5494f6f-qtzsc                           1/1     Running     5 (6d16h ago)     27d
ilens-core           pod/visualization-4-celery-79664d754f-jztwv                       1/1     Running     1 (6d16h ago)     18d
ilens-core           pod/model-management-6545484dd5-2bthr                             1/1     Running     6 (6d16h ago)     44d
