NAMESPACE            NAME                                                              READY   STATUS      RESTARTS          AGE
ilens-core           pod/pod-status-infra-28990680-4pmsd                               0/1     Pending     0                 3d17h
ilens-core           pod/pod-status-infra-28990695-t4kj9                               0/1     Pending     0                 3d17h
ilens-core           pod/kafka-lag-alerts-28990710-k5qtv                               0/1     Pending     0                 3d16h
ilens-core           pod/pod-status-infra-28990710-d84k4                               0/1     Pending     0                 3d16h
ilens-core           pod/pod-status-infra-28990725-q6hsh                               0/1     Pending     0                 3d16h
ilens-core           pod/kafka-lag-alerts-28990740-8mq7v                               0/1     Pending     0                 3d16h
ilens-core           pod/pod-status-infra-28990740-rbq48                               0/1     Pending     0                 3d16h
ilens-core           pod/pod-status-infra-28990755-hggw2                               0/1     Pending     0                 3d16h
ilens-core           pod/pod-status-infra-28990770-h4tfz                               0/1     Pending     0                 3d15h
ilens-core           pod/kafka-lag-alerts-28990770-zjnx5                               0/1     Pending     0                 3d15h
ilens-core           pod/pod-status-infra-28990785-gxlrw                               0/1     Pending     0                 3d15h
ilens-core           pod/infra-arango-backup-28990800-w55hk                            0/1     Pending     0                 3d15h
ilens-core           pod/infra-kairosdb-incremental-backup-28990800-vtmnm              0/1     Pending     0                 3d15h
ilens-core           pod/kafka-lag-alerts-28990800-xv55n                               0/1     Pending     0                 3d15h
ilens-core           pod/pod-status-infra-28990800-qp89d                               0/1     Pending     0                 3d15h
ilens-core           pod/infra-mongo-backup-28990800-6cktb                             0/1     Pending     0                 3d15h
ilens-core           pod/pod-status-infra-28990815-vmqxb                               0/1     Pending     0                 3d15h
ilens-core           pod/pod-status-infra-28990830-xxsnq                               0/1     Pending     0                 3d14h
ilens-core           pod/kafka-lag-alerts-28990830-cxzpd                               0/1     Pending     0                 3d14h
ilens-core           pod/pod-status-infra-28990845-vl5qd                               0/1     Pending     0                 3d14h
ilens-core           pod/pod-status-infra-28990860-d74zd                               0/1     Pending     0                 3d14h
ilens-core           pod/kafka-lag-alerts-28990860-pn5s9                               0/1     Pending     0                 3d14h
ilens-core           pod/pod-status-infra-28990875-cqf4c                               0/1     Pending     0                 3d14h
ilens-core           pod/kafka-lag-alerts-28990890-vs8lc                               0/1     Pending     0                 3d13h
ilens-core           pod/pod-status-infra-28990890-x59xs                               0/1     Pending     0                 3d13h
ilens-core           pod/pod-status-infra-28990905-mdnq8                               0/1     Pending     0                 3d13h
ilens-core           pod/pod-status-infra-28990920-5rdv9                               0/1     Pending     0                 3d13h
ilens-core           pod/kafka-lag-alerts-28990920-rmg52                               0/1     Pending     0                 3d13h
ilens-core           pod/pod-status-infra-28990935-xxqzh                               0/1     Pending     0                 3d13h
ilens-core           pod/pod-status-infra-28990950-4wcsr                               0/1     Pending     0                 3d12h
ilens-core           pod/kafka-lag-alerts-28990950-4sf9r                               0/1     Pending     0                 3d12h
ilens-core           pod/pod-status-infra-28990965-ktzk5                               0/1     Pending     0                 3d12h
ilens-core           pod/infra-mongo-backup-28990980-5wfqc                             0/1     Pending     0                 3d12h
ilens-core           pod/infra-arango-backup-28990980-fphgp                            0/1     Pending     0                 3d12h
ilens-core           pod/kafka-lag-alerts-28990980-5kbc4                               0/1     Pending     0                 3d12h
ilens-core           pod/pod-status-infra-28990980-2mfql                               0/1     Pending     0                 3d12h
ilens-core           pod/pod-status-infra-28990995-dnhgm                               0/1     Pending     0                 3d12h
ilens-core           pod/kafka-lag-alerts-28991010-75vzh                               0/1     Pending     0                 3d11h
ilens-core           pod/pod-status-infra-28991010-jx5t5                               0/1     Pending     0                 3d11h
ilens-core           pod/pod-status-infra-28991025-7m92x                               0/1     Pending     0                 3d11h
ilens-core           pod/kafka-lag-alerts-28991040-7rrsd                               0/1     Pending     0                 3d11h
ilens-core           pod/pod-status-infra-28991040-hmvnz                               0/1     Pending     0                 3d11h
ilens-core           pod/pod-status-core-28991055-sprvd                                0/1     Pending     0                 3d11h
ilens-core           pod/pod-status-infra-28991055-wzl6s                               0/1     Pending     0                 3d11h
ilens-core           pod/pod-status-infra-28991070-tn8z2                               0/1     Pending     0                 3d10h
ilens-core           pod/kafka-lag-alerts-28991070-qptj2                               0/1     Pending     0                 3d10h
ilens-core           pod/pod-status-infra-28991085-lwn7d                               0/1     Pending     0                 3d10h
ilens-core           pod/kafka-lag-alerts-28991100-qdhdb                               0/1     Pending     0                 3d10h
ilens-core           pod/pod-status-infra-28991100-xqhxh                               0/1     Pending     0                 3d10h
ilens-core           pod/pod-status-infra-28991115-jmvfm                               0/1     Pending     0                 3d10h
ilens-core           pod/pod-status-infra-28991130-8qrcj                               0/1     Pending     0                 3d9h
ilens-core           pod/kafka-lag-alerts-28991130-85qsf                               0/1     Pending     0                 3d9h
ilens-core           pod/pod-status-infra-28991145-4vgdv                               0/1     Pending     0                 3d9h
ilens-core           pod/infra-redis-backup-28991160-7jgjv                             0/1     Pending     0                 3d9h
ilens-core           pod/infra-postgres-backup-28991160-k8n54                          0/1     Pending     0                 3d9h
ilens-core           pod/infra-arango-backup-28991160-2mcld                            0/1     Pending     0                 3d9h
ilens-core           pod/infra-mongo-backup-28991160-kkbql                             0/1     Pending     0                 3d9h
ilens-core           pod/infra-kairosdb-incremental-backup-28991160-ldkvm              0/1     Pending     0                 3d9h
ilens-core           pod/kafka-lag-alerts-28991160-6nzf5                               0/1     Pending     0                 3d9h
ilens-core           pod/pod-status-infra-28991160-99299                               0/1     Pending     0                 3d9h
ilens-core           pod/pod-status-infra-28991175-l4h77                               0/1     Pending     0                 3d9h
ilens-core           pod/kafka-lag-alerts-28991190-xfgl7                               0/1     Pending     0                 3d8h
ilens-core           pod/pod-status-infra-28991190-wrwsm                               0/1     Pending     0                 3d8h
ilens-core           pod/pod-status-infra-28991205-zcv5f                               0/1     Pending     0                 3d8h
ilens-core           pod/pod-status-infra-28991220-mfnvb                               0/1     Pending     0                 3d8h
ilens-core           pod/kafka-lag-alerts-28991220-wnbrg                               0/1     Pending     0                 3d8h
ilens-core           pod/pod-status-infra-28991235-m6c4q                               0/1     Pending     0                 3d8h
ilens-core           pod/kafka-lag-alerts-28991250-57qst                               0/1     Pending     0                 3d7h
ilens-core           pod/pod-status-infra-28991250-gddzt                               0/1     Pending     0                 3d7h
ilens-core           pod/pod-status-infra-28991265-vz6hg                               0/1     Pending     0                 3d7h
ilens-core           pod/kafka-lag-alerts-28991280-cn9d7                               0/1     Pending     0                 3d7h
ilens-core           pod/pod-status-infra-28991280-n4wwh                               0/1     Pending     0                 3d7h
ilens-core           pod/pod-status-infra-28991295-h7l7z                               0/1     Pending     0                 3d7h
ilens-core           pod/pod-status-infra-28991310-vvgm7                               0/1     Pending     0                 3d6h
ilens-core           pod/kafka-lag-alerts-28991310-wf8f9                               0/1     Pending     0                 3d6h
ilens-core           pod/pod-status-infra-28991325-8pgnp                               0/1     Pending     0                 3d6h
ilens-core           pod/pod-status-infra-28991340-nq4mf                               0/1     Pending     0                 3d6h
ilens-core           pod/infra-arango-backup-28991340-7c8cg                            0/1     Pending     0                 3d6h
ilens-core           pod/infra-mongo-backup-28991340-gq2ch                             0/1     Pending     0                 3d6h
ilens-core           pod/kafka-lag-alerts-28991340-mm9ff                               0/1     Pending     0                 3d6h
ilens-core           pod/pod-status-infra-28991355-wwtzf                               0/1     Pending     0                 3d6h
ilens-core           pod/kafka-lag-alerts-28991370-kwvdg                               0/1     Pending     0                 3d5h
ilens-core           pod/pod-status-infra-28991370-nkjmn                               0/1     Pending     0                 3d5h
ilens-core           pod/pod-status-infra-28991385-8bcgm                               0/1     Pending     0                 3d5h
ilens-core           pod/kafka-lag-alerts-28991400-cm5fs                               0/1     Pending     0                 3d5h
ilens-core           pod/pod-status-infra-28991400-bj2s9                               0/1     Pending     0                 3d5h
ilens-core           pod/pod-status-infra-28991415-587wv                               0/1     Pending     0                 3d5h
ilens-core           pod/kafka-lag-alerts-28991430-5ld6t                               0/1     Pending     0                 3d4h
ilens-core           pod/pod-status-infra-28991430-g8qsx                               0/1     Pending     0                 3d4h
ilens-core           pod/pod-status-infra-28991445-sppkz                               0/1     Pending     0                 3d4h
ilens-core           pod/pod-status-infra-28991460-tr2zw                               0/1     Pending     0                 3d4h
ilens-core           pod/kafka-lag-alerts-28991460-4wmtj                               0/1     Pending     0                 3d4h
ilens-core           pod/pod-status-infra-28991475-4n6m7                               0/1     Pending     0                 3d4h
ilens-core           pod/kafka-lag-alerts-28991490-t827v                               0/1     Pending     0                 3d3h
ilens-core           pod/pod-status-infra-28991490-2n4pr                               0/1     Pending     0                 3d3h
ilens-core           pod/pod-status-infra-28991505-w89qs                               0/1     Pending     0                 3d3h
ilens-core           pod/kafka-lag-alerts-28991520-zhs4b                               0/1     Pending     0                 3d3h
ilens-core           pod/infra-mongo-backup-28991520-xmcgl                             0/1     Pending     0                 3d3h
ilens-core           pod/infra-arango-backup-28991520-w6h5d                            0/1     Pending     0                 3d3h
ilens-core           pod/pod-status-infra-28991520-2g6qm                               0/1     Pending     0                 3d3h
ilens-core           pod/infra-kairosdb-incremental-backup-28991520-rmbkc              0/1     Pending     0                 3d3h
ilens-core           pod/pod-status-infra-28991535-s7q5r                               0/1     Pending     0                 3d3h
ilens-core           pod/pod-status-infra-28991550-lxzwl                               0/1     Pending     0                 3d2h
ilens-core           pod/kafka-lag-alerts-28991550-2fpff                               0/1     Pending     0                 3d2h
ilens-core           pod/pod-status-infra-28991565-6rvrj                               0/1     Pending     0                 3d2h
ilens-core           pod/kafka-lag-alerts-28991580-n5klk                               0/1     Pending     0                 3d2h
ilens-core           pod/pod-status-infra-28991580-8pbsm                               0/1     Pending     0                 3d2h
ilens-core           pod/pod-status-infra-28991595-fnh55                               0/1     Pending     0                 3d2h
ilens-core           pod/pod-status-infra-28991610-dgn5j                               0/1     Pending     0                 3d1h
ilens-core           pod/kafka-lag-alerts-28991610-kfhtg                               0/1     Pending     0                 3d1h
ilens-core           pod/pod-status-infra-28991625-r7clc                               0/1     Pending     0                 3d1h
ilens-core           pod/restart-core-pods-28991640-xs94r                              0/1     Pending     0                 3d1h
ilens-core           pod/kafka-lag-alerts-28991640-k9cr5                               0/1     Pending     0                 3d1h
ilens-core           pod/pod-status-infra-28991640-65fbt                               0/1     Pending     0                 3d1h
ilens-core           pod/pod-status-infra-28991655-cr2r8                               0/1     Pending     0                 3d1h
ilens-core           pod/kafka-lag-alerts-28991670-w48r6                               0/1     Pending     0                 3d
ilens-core           pod/pod-status-infra-28991670-w6ttt                               0/1     Pending     0                 3d
ilens-core           pod/pod-status-infra-28991685-kpclh                               0/1     Pending     0                 3d
ilens-core           pod/kafka-lag-alerts-28991700-ptkc8                               0/1     Pending     0                 3d
ilens-core           pod/infra-mongo-backup-28991700-sgvcf                             0/1     Pending     0                 3d
ilens-core           pod/pod-status-infra-28991700-2x4ms                               0/1     Pending     0                 3d
ilens-core           pod/infra-arango-backup-28991700-mhljg                            0/1     Pending     0                 3d
ilens-core           pod/pod-status-infra-28991715-cccw6                               0/1     Pending     0                 3d
ilens-core           pod/pod-status-infra-28991730-bqx5w                               0/1     Pending     0                 2d23h
ilens-core           pod/kafka-lag-alerts-28991730-jzgd9                               0/1     Pending     0                 2d23h
ilens-core           pod/pod-status-infra-28991745-c2tx7                               0/1     Pending     0                 2d23h
ilens-core           pod/pod-status-infra-28991760-d9t8x                               0/1     Pending     0                 2d23h
ilens-core           pod/kafka-lag-alerts-28991760-d9df8                               0/1     Pending     0                 2d23h
ilens-core           pod/pod-status-core-28991775-jbwx9                                0/1     Pending     0                 2d23h
ilens-core           pod/pod-status-infra-28991775-mr2b5                               0/1     Pending     0                 2d23h
ilens-core           pod/kafka-lag-alerts-28991790-jb94g                               0/1     Pending     0                 2d22h
ilens-core           pod/pod-status-infra-28991790-wr89w                               0/1     Pending     0                 2d22h
ilens-core           pod/pod-status-infra-28991805-q9vhb                               0/1     Pending     0                 2d22h
ilens-core           pod/pod-status-infra-28991820-tzpwr                               0/1     Pending     0                 2d22h
ilens-core           pod/kafka-lag-alerts-28991820-k4gb2                               0/1     Pending     0                 2d22h
ilens-core           pod/pod-status-infra-28991835-tvbnj                               0/1     Pending     0                 2d22h
ilens-core           pod/pod-status-infra-28991850-slpwg                               0/1     Pending     0                 2d21h
ilens-core           pod/kafka-lag-alerts-28991850-m4v2q                               0/1     Pending     0                 2d21h
ilens-core           pod/pod-status-infra-28991865-tszfb                               0/1     Pending     0                 2d21h
ilens-core           pod/infra-redis-backup-28991880-7qnkg                             0/1     Pending     0                 2d21h
ilens-core           pod/infra-arango-backup-28991880-gmslg                            0/1     Pending     0                 2d21h
ilens-core           pod/infra-mongo-backup-28991880-t77bz                             0/1     Pending     0                 2d21h
ilens-core           pod/infra-postgres-backup-28991880-5wpdv                          0/1     Pending     0                 2d21h
ilens-core           pod/infra-kairosdb-incremental-backup-28991880-vmsks              0/1     Pending     0                 2d21h
ilens-core           pod/kafka-lag-alerts-28991880-nc8bm                               0/1     Pending     0                 2d21h
ilens-core           pod/pod-status-infra-28991880-2pxbk                               0/1     Pending     0                 2d21h
ilens-core           pod/pod-status-infra-28991895-nbdzk                               0/1     Pending     0                 2d21h
ilens-core           pod/kafka-lag-alerts-28991910-mmw94                               0/1     Pending     0                 2d20h
ilens-core           pod/pod-status-infra-28991910-9lmst                               0/1     Pending     0                 2d20h
ilens-core           pod/pod-status-infra-28991925-6tsqz                               0/1     Pending     0                 2d20h
ilens-core           pod/kafka-lag-alerts-28991940-cwjgg                               0/1     Pending     0                 2d20h
ilens-core           pod/pod-status-infra-28991940-s97pc                               0/1     Pending     0                 2d20h
ilens-core           pod/pod-status-infra-28991955-v6lw9                               0/1     Pending     0                 2d20h
ilens-core           pod/kafka-lag-alerts-28991970-j4pxf                               0/1     Pending     0                 2d19h
ilens-core           pod/pod-status-infra-28991970-tvjgl                               0/1     Pending     0                 2d19h
ilens-core           pod/pod-status-infra-28991985-rcgnk                               0/1     Pending     0                 2d19h
ilens-core           pod/pod-status-infra-28992000-zh8lz                               0/1     Pending     0                 2d19h
ilens-core           pod/kafka-lag-alerts-28992000-7s7pb                               0/1     Pending     0                 2d19h
ilens-core           pod/pod-status-infra-28992015-dp8zv                               0/1     Pending     0                 2d19h
ilens-core           pod/kafka-lag-alerts-28992030-94bdh                               0/1     Pending     0                 2d18h
ilens-core           pod/pod-status-infra-28992030-j45cb                               0/1     Pending     0                 2d18h
ilens-core           pod/pod-status-infra-28992045-2m5zl                               0/1     Pending     0                 2d18h
ilens-core           pod/infra-arango-backup-28992060-s7mx4                            0/1     Pending     0                 2d18h
ilens-core           pod/kafka-lag-alerts-28992060-th6mx                               0/1     Pending     0                 2d18h
ilens-core           pod/pod-status-infra-28992060-vxk5r                               0/1     Pending     0                 2d18h
ilens-core           pod/infra-mongo-backup-28992060-j6gx7                             0/1     Pending     0                 2d18h
ilens-core           pod/pod-status-infra-28992075-6nh6z                               0/1     Pending     0                 2d18h
ilens-core           pod/kafka-lag-alerts-28992090-h2lx7                               0/1     Pending     0                 2d17h
ilens-core           pod/pod-status-infra-28992090-4xhdr                               0/1     Pending     0                 2d17h
ilens-core           pod/pod-status-infra-28992105-lzb28                               0/1     Pending     0                 2d17h
ilens-core           pod/pod-status-infra-28992120-tmd58                               0/1     Pending     0                 2d17h
ilens-core           pod/kafka-lag-alerts-28992120-nnnkk                               0/1     Pending     0                 2d17h
ilens-core           pod/pod-status-infra-28992135-fmfkt                               0/1     Pending     0                 2d17h
ilens-core           pod/pod-status-infra-28992150-4b47p                               0/1     Pending     0                 2d16h
ilens-core           pod/kafka-lag-alerts-28992150-2lzkg                               0/1     Pending     0                 2d16h
ilens-core           pod/pod-status-infra-28992165-69rsp                               0/1     Pending     0                 2d16h
ilens-core           pod/kafka-lag-alerts-28992180-d9wjn                               0/1     Pending     0                 2d16h
ilens-core           pod/pod-status-infra-28992180-wh4fb                               0/1     Pending     0                 2d16h
ilens-core           pod/pod-status-infra-28992195-dk2sp                               0/1     Pending     0                 2d16h
ilens-core           pod/kafka-lag-alerts-28992210-zcdlh                               0/1     Pending     0                 2d15h
ilens-core           pod/pod-status-infra-28992210-bl8xx                               0/1     Pending     0                 2d15h
ilens-core           pod/pod-status-infra-28992225-9bgnh                               0/1     Pending     0                 2d15h
ilens-core           pod/kafka-lag-alerts-28992240-n7k87                               0/1     Pending     0                 2d15h
ilens-core           pod/infra-kairosdb-incremental-backup-28992240-jb4gp              0/1     Pending     0                 2d15h
ilens-core           pod/pod-status-infra-28992240-mv9bh                               0/1     Pending     0                 2d15h
ilens-core           pod/infra-arango-backup-28992240-phrqr                            0/1     Pending     0                 2d15h
ilens-core           pod/infra-mongo-backup-28992240-v9gsw                             0/1     Pending     0                 2d15h
ilens-core           pod/pod-status-infra-28992255-mdfdw                               0/1     Pending     0                 2d15h
ilens-core           pod/kafka-lag-alerts-28992270-z75dg                               0/1     Pending     0                 2d14h
ilens-core           pod/pod-status-infra-28992270-fnz2m                               0/1     Pending     0                 2d14h
ilens-core           pod/pod-status-infra-28992285-ztn6h                               0/1     Pending     0                 2d14h
ilens-core           pod/pod-status-infra-28992300-5km8n                               0/1     Pending     0                 2d14h
ilens-core           pod/kafka-lag-alerts-28992300-bdmmc                               0/1     Pending     0                 2d14h
ilens-core           pod/pod-status-infra-28992315-tn9g4                               0/1     Pending     0                 2d14h
ilens-core           pod/pod-status-infra-28992330-2x5vp                               0/1     Pending     0                 2d13h
ilens-core           pod/kafka-lag-alerts-28992330-pgms6                               0/1     Pending     0                 2d13h
ilens-core           pod/pod-status-infra-28992345-7x2b8                               0/1     Pending     0                 2d13h
ilens-core           pod/kafka-lag-alerts-28992360-wzgm2                               0/1     Pending     0                 2d13h
ilens-core           pod/pod-status-infra-28992360-9ksfg                               0/1     Pending     0                 2d13h
ilens-core           pod/pod-status-infra-28992375-xtd8t                               0/1     Pending     0                 2d13h
ilens-core           pod/kafka-lag-alerts-28992390-cx2xl                               0/1     Pending     0                 2d12h
ilens-core           pod/pod-status-infra-28992390-psz85                               0/1     Pending     0                 2d12h
ilens-core           pod/pod-status-infra-28992405-qdpb5                               0/1     Pending     0                 2d12h
ilens-core           pod/infra-arango-backup-28992420-kjzcr                            0/1     Pending     0                 2d12h
ilens-core           pod/pod-status-infra-28992420-9crkc                               0/1     Pending     0                 2d12h
ilens-core           pod/kafka-lag-alerts-28992420-msl67                               0/1     Pending     0                 2d12h
ilens-core           pod/infra-mongo-backup-28992420-ql9cl                             0/1     Pending     0                 2d12h
ilens-core           pod/pod-status-infra-28992435-df8jf                               0/1     Pending     0                 2d12h
ilens-core           pod/kafka-lag-alerts-28992450-gf7x9                               0/1     Pending     0                 2d11h
ilens-core           pod/pod-status-infra-28992450-9vk6l                               0/1     Pending     0                 2d11h
ilens-core           pod/pod-status-infra-28992465-4f9xm                               0/1     Pending     0                 2d11h
ilens-core           pod/kafka-lag-alerts-28992480-l9mdv                               0/1     Pending     0                 2d11h
ilens-core           pod/pod-status-infra-28992480-wxx62                               0/1     Pending     0                 2d11h
ilens-core           pod/pod-status-core-28992495-9qnds                                0/1     Pending     0                 2d11h
ilens-core           pod/pod-status-infra-28992495-tbf9v                               0/1     Pending     0                 2d11h
ilens-core           pod/pod-status-infra-28992510-7rbsf                               0/1     Pending     0                 2d10h
ilens-core           pod/kafka-lag-alerts-28992510-9sjhz                               0/1     Pending     0                 2d10h
ilens-core           pod/pod-status-infra-28992525-n7f82                               0/1     Pending     0                 2d10h
ilens-core           pod/pod-status-infra-28992540-hm8k6                               0/1     Pending     0                 2d10h
ilens-core           pod/kafka-lag-alerts-28992540-vwzjs                               0/1     Pending     0                 2d10h
ilens-core           pod/pod-status-infra-28992555-7vmxp                               0/1     Pending     0                 2d10h
ilens-core           pod/pod-status-infra-28992570-rl5jl                               0/1     Pending     0                 2d9h
ilens-core           pod/kafka-lag-alerts-28992570-s9pjg                               0/1     Pending     0                 2d9h
ilens-core           pod/pod-status-infra-28992585-dzpdd                               0/1     Pending     0                 2d9h
ilens-core           pod/infra-postgres-backup-28992600-6k866                          0/1     Pending     0                 2d9h
ilens-core           pod/infra-arango-backup-28992600-dntrm                            0/1     Pending     0                 2d9h
ilens-core           pod/infra-kairosdb-incremental-backup-28992600-45jld              0/1     Pending     0                 2d9h
ilens-core           pod/infra-mongo-backup-28992600-gp9wc                             0/1     Pending     0                 2d9h
ilens-core           pod/infra-redis-backup-28992600-hdzxv                             0/1     Pending     0                 2d9h
ilens-core           pod/pod-status-infra-28992600-5wqgt                               0/1     Pending     0                 2d9h
ilens-core           pod/kafka-lag-alerts-28992600-9b2zl                               0/1     Pending     0                 2d9h
ilens-core           pod/pod-status-infra-28992615-w2r5b                               0/1     Pending     0                 2d9h
ilens-core           pod/pod-status-infra-28992630-4p6xz                               0/1     Pending     0                 2d8h
ilens-core           pod/kafka-lag-alerts-28992630-zvmz6                               0/1     Pending     0                 2d8h
ilens-core           pod/pod-status-infra-28992645-j5htv                               0/1     Pending     0                 2d8h
ilens-core           pod/kafka-lag-alerts-28992660-pcmdn                               0/1     Pending     0                 2d8h
ilens-core           pod/pod-status-infra-28992660-tj254                               0/1     Pending     0                 2d8h
ilens-core           pod/pod-status-infra-28992675-k2gbq                               0/1     Pending     0                 2d8h
ilens-core           pod/kafka-lag-alerts-28992690-phj6c                               0/1     Pending     0                 2d7h
ilens-core           pod/pod-status-infra-28992690-xzrjb                               0/1     Pending     0                 2d7h
ilens-core           pod/pod-status-infra-28992705-5k8cd                               0/1     Pending     0                 2d7h
ilens-core           pod/pod-status-infra-28992720-qp2ck                               0/1     Pending     0                 2d7h
ilens-core           pod/kafka-lag-alerts-28992720-5l2s5                               0/1     Pending     0                 2d7h
ilens-core           pod/pod-status-infra-28992735-msz9f                               0/1     Pending     0                 2d7h
ilens-core           pod/kafka-lag-alerts-28992750-9qnj5                               0/1     Pending     0                 2d6h
ilens-core           pod/pod-status-infra-28992750-5pjsq                               0/1     Pending     0                 2d6h
ilens-core           pod/pod-status-infra-28992765-b8ntn                               0/1     Pending     0                 2d6h
ilens-core           pod/kafka-lag-alerts-28992780-jfhb4                               0/1     Pending     0                 2d6h
ilens-core           pod/pod-status-infra-28992780-r6xjf                               0/1     Pending     0                 2d6h
ilens-core           pod/infra-mongo-backup-28992780-cdshg                             0/1     Pending     0                 2d6h
ilens-core           pod/infra-arango-backup-28992780-bw582                            0/1     Pending     0                 2d6h
ilens-core           pod/restart-infra-pods-28992790-q95gj                             0/1     Pending     0                 2d6h
ilens-core           pod/pod-status-infra-28992795-przwz                               0/1     Pending     0                 2d6h
ilens-core           pod/pod-status-infra-28992810-596tv                               0/1     Pending     0                 2d5h
ilens-core           pod/kafka-lag-alerts-28992810-vmzpf                               0/1     Pending     0                 2d5h
ilens-core           pod/pod-status-infra-28992825-fq85z                               0/1     Pending     0                 2d5h
ilens-core           pod/kafka-lag-alerts-28992840-d5fw9                               0/1     Pending     0                 2d5h
ilens-core           pod/pod-status-infra-28992840-ggbf5                               0/1     Pending     0                 2d5h
ilens-core           pod/pod-status-infra-28992855-g2ptc                               0/1     Pending     0                 2d5h
ilens-core           pod/kafka-lag-alerts-28992870-td8pw                               0/1     Pending     0                 2d4h
ilens-core           pod/pod-status-infra-28992870-grfc4                               0/1     Pending     0                 2d4h
ilens-core           pod/pod-status-infra-28992885-wpqkq                               0/1     Pending     0                 2d4h
ilens-core           pod/kafka-lag-alerts-28992900-hq6rh                               0/1     Pending     0                 2d4h
ilens-core           pod/pod-status-infra-28992900-94ckb                               0/1     Pending     0                 2d4h
ilens-core           pod/pod-status-infra-28992915-hq2dc                               0/1     Pending     0                 2d4h
ilens-core           pod/pod-status-infra-28992930-6m6v9                               0/1     Pending     0                 2d3h
ilens-core           pod/kafka-lag-alerts-28992930-rwqxn                               0/1     Pending     0                 2d3h
ilens-core           pod/pod-status-infra-28992945-pfrpf                               0/1     Pending     0                 2d3h
ilens-core           pod/infra-arango-backup-28992960-wdgjv                            0/1     Pending     0                 2d3h
ilens-core           pod/infra-kairosdb-incremental-backup-28992960-dpv8m              0/1     Pending     0                 2d3h
ilens-core           pod/pod-status-infra-28992960-db8zz                               0/1     Pending     0                 2d3h
ilens-core           pod/kafka-lag-alerts-28992960-txnnm                               0/1     Pending     0                 2d3h
ilens-core           pod/infra-mongo-backup-28992960-j782z                             0/1     Pending     0                 2d3h
ilens-core           pod/pod-status-infra-28992975-v8xj9                               0/1     Pending     0                 2d3h
ilens-core           pod/kafka-lag-alerts-28992990-5fkl2                               0/1     Pending     0                 2d2h
ilens-core           pod/pod-status-infra-28992990-bvwft                               0/1     Pending     0                 2d2h
ilens-core           pod/pod-status-infra-28993005-mq45s                               0/1     Pending     0                 2d2h
ilens-core           pod/kafka-lag-alerts-28993020-4rxpb                               0/1     Pending     0                 2d2h
ilens-core           pod/pod-status-infra-28993020-46sbg                               0/1     Pending     0                 2d2h
ilens-core           pod/pod-status-infra-28993035-fnkdj                               0/1     Pending     0                 2d2h
ilens-core           pod/kafka-lag-alerts-28993050-dg5v7                               0/1     Pending     0                 2d1h
ilens-core           pod/pod-status-infra-28993050-2lnr4                               0/1     Pending     0                 2d1h
ilens-core           pod/pod-status-infra-28993065-rp5wn                               0/1     Pending     0                 2d1h
ilens-core           pod/kafka-lag-alerts-28993080-wh8vj                               0/1     Pending     0                 2d1h
ilens-core           pod/pod-status-infra-28993080-x2qtj                               0/1     Pending     0                 2d1h
ilens-core           pod/pod-status-infra-28993095-6pg6m                               0/1     Pending     0                 2d1h
ilens-core           pod/kafka-lag-alerts-28993110-7mb82                               0/1     Pending     0                 2d
ilens-core           pod/pod-status-infra-28993110-f22tp                               0/1     Pending     0                 2d
ilens-core           pod/pod-status-infra-28993125-q7hpd                               0/1     Pending     0                 2d
ilens-core           pod/kafka-lag-alerts-28993140-qxvh2                               0/1     Pending     0                 2d
ilens-core           pod/pod-status-infra-28993140-xzp5s                               0/1     Pending     0                 2d
ilens-core           pod/infra-mongo-backup-28993140-xfrvt                             0/1     Pending     0                 2d
ilens-core           pod/infra-arango-backup-28993140-cj7nf                            0/1     Pending     0                 2d
ilens-core           pod/pod-status-infra-28993155-7mtxs                               0/1     Pending     0                 2d
ilens-core           pod/kafka-lag-alerts-28993170-6jxm9                               0/1     Pending     0                 47h
ilens-core           pod/pod-status-infra-28993170-d2p5k                               0/1     Pending     0                 47h
ilens-core           pod/pod-status-infra-28993185-xzr8d                               0/1     Pending     0                 47h
ilens-core           pod/kafka-lag-alerts-28993200-8wc4j                               0/1     Pending     0                 47h
ilens-core           pod/pod-status-infra-28993200-9wzbs                               0/1     Pending     0                 47h
ilens-core           pod/pod-status-core-28993215-422qf                                0/1     Pending     0                 47h
ilens-core           pod/pod-status-infra-28993215-w7rbz                               0/1     Pending     0                 47h
ilens-core           pod/pod-status-infra-28993230-vrv2x                               0/1     Pending     0                 46h
ilens-core           pod/kafka-lag-alerts-28993230-5rbln                               0/1     Pending     0                 46h
ilens-core           pod/pod-status-infra-28993245-lrbp5                               0/1     Pending     0                 46h
ilens-core           pod/pod-status-infra-28993260-576zw                               0/1     Pending     0                 46h
ilens-core           pod/kafka-lag-alerts-28993260-4ggtl                               0/1     Pending     0                 46h
ilens-core           pod/pod-status-infra-28993275-5vcm9                               0/1     Pending     0                 46h
ilens-core           pod/kafka-lag-alerts-28993290-k4r4l                               0/1     Pending     0                 45h
ilens-core           pod/pod-status-infra-28993290-fx4f2                               0/1     Pending     0                 45h
ilens-core           pod/pod-status-infra-28993305-rnw6k                               0/1     Pending     0                 45h
ilens-core           pod/infra-mongo-backup-28993320-2kf8r                             0/1     Pending     0                 45h
ilens-core           pod/infra-postgres-backup-28993320-6g8b2                          0/1     Pending     0                 45h
ilens-core           pod/infra-kairosdb-incremental-backup-28993320-fjjqz              0/1     Pending     0                 45h
